,player,mcts_simuls,mcts_rate,player_first,result_from_player,score_diff_from_player,moves
24,random,5,1.4,True,1,1,"[16, 3, 21, 11, 25, 24, 4, 10, 22, 15, 9, 0, 8, 14, 5, 19, 29, 6, 26, 18, 28, 2, 30, 17, 12, 32, 35, 34, 20, 27, 31, 1, 7, 33, 23, 13]"
25,random,5,1.4,False,-1,-3,"[15, 35, 12, 27, 18, 26, 9, 30, 3, 33, 8, 11, 17, 14, 25, 23, 24, 20, 1, 6, 28, 4, 13, 2, 31, 5, 32, 22, 21, 16, 0, 34, 19, 10, 7, 29]"
26,random,5,1.4,True,-1,-1,"[35, 7, 20, 32, 24, 30, 22, 15, 17, 3, 31, 8, 18, 26, 9, 19, 27, 28, 29, 5, 16, 23, 12, 13, 33, 1, 0, 21, 34, 6, 10, 14, 4, 11, 25, 2]"
27,random,5,1.4,False,-1,-1,"[13, 3, 30, 15, 26, 0, 27, 14, 8, 21, 34, 18, 16, 1, 2, 29, 35, 6, 9, 7, 11, 25, 4, 32, 22, 33, 10, 24, 17, 5, 12, 23, 31, 19, 20, 28]"
28,random,5,1.4,True,1,1,"[0, 2, 19, 16, 22, 12, 29, 14, 9, 1, 7, 13, 30, 25, 18, 31, 11, 32, 6, 3, 33, 24, 21, 28, 35, 20, 17, 27, 26, 5, 8, 23, 15, 34, 10, 4]"
29,random,5,1.4,False,0,0,"[10, 28, 16, 9, 27, 17, 8, 29, 22, 4, 7, 24, 26, 15, 21, 5, 3, 13, 0, 14, 19, 23, 11, 20, 25, 31, 30, 33, 34, 35, 12, 18, 32, 2, 1, 6]"
30,random,5,1.4,True,-1,-2,"[12, 13, 30, 14, 16, 29, 22, 19, 28, 8, 1, 6, 20, 15, 2, 24, 11, 34, 4, 9, 17, 3, 21, 35, 0, 10, 18, 33, 25, 26, 31, 5, 27, 23, 7, 32]"
31,random,5,1.4,False,-1,-2,"[28, 33, 22, 18, 23, 27, 4, 35, 0, 13, 20, 16, 29, 19, 12, 2, 1, 31, 5, 26, 21, 17, 7, 15, 34, 24, 25, 10, 8, 30, 14, 11, 9, 3, 32, 6]"
32,random,5,1.4,True,0,0,"[17, 33, 2, 29, 3, 25, 1, 11, 8, 7, 18, 22, 0, 30, 16, 13, 4, 28, 12, 27, 9, 23, 34, 15, 21, 31, 14, 10, 32, 35, 24, 20, 6, 5, 26, 19]"
33,random,5,1.4,False,0,0,"[7, 13, 27, 23, 1, 22, 29, 4, 6, 26, 14, 3, 5, 18, 30, 19, 35, 33, 31, 28, 9, 34, 0, 15, 25, 12, 20, 2, 10, 21, 8, 11, 16, 17, 24, 32]"
34,random,5,1.4,True,1,3,"[5, 6, 15, 31, 25, 19, 8, 29, 34, 24, 9, 20, 12, 3, 35, 27, 16, 18, 17, 10, 28, 0, 11, 13, 23, 33, 21, 7, 14, 26, 1, 22, 30, 32, 2, 4]"
35,random,5,1.4,False,1,3,"[29, 0, 1, 32, 11, 18, 27, 28, 24, 17, 2, 4, 3, 21, 8, 26, 6, 30, 5, 33, 25, 9, 10, 12, 34, 13, 19, 16, 7, 14, 20, 22, 23, 31, 35, 15]"
36,random,5,1.4,True,-1,-2,"[28, 2, 5, 7, 31, 22, 20, 15, 32, 35, 16, 8, 1, 26, 10, 0, 14, 11, 30, 29, 18, 13, 6, 34, 17, 9, 23, 24, 25, 19, 21, 33, 3, 12, 27, 4]"
37,random,5,1.4,False,0,0,"[14, 35, 3, 13, 28, 25, 10, 11, 18, 32, 7, 21, 2, 26, 4, 33, 23, 27, 31, 16, 20, 8, 30, 6, 1, 0, 22, 9, 24, 19, 12, 5, 34, 15, 29, 17]"
38,random,5,1.4,True,-1,-2,"[15, 8, 14, 4, 22, 23, 34, 13, 30, 7, 29, 10, 0, 33, 27, 12, 28, 17, 25, 20, 2, 9, 3, 19, 21, 32, 16, 11, 5, 1, 35, 26, 24, 18, 6, 31]"
39,random,5,1.4,False,-1,-1,"[8, 35, 10, 20, 15, 7, 16, 29, 27, 34, 18, 9, 32, 2, 11, 26, 24, 17, 6, 22, 4, 5, 21, 14, 0, 33, 13, 30, 19, 12, 23, 31, 3, 1, 25, 28]"
40,random,10,1.4,True,-1,-1,"[0, 13, 34, 22, 23, 5, 14, 17, 25, 31, 28, 15, 1, 12, 7, 6, 24, 3, 10, 11, 18, 8, 27, 21, 4, 19, 16, 35, 26, 9, 30, 29, 20, 32, 2, 33]"
41,random,10,1.4,False,-1,-2,"[22, 8, 13, 16, 21, 29, 4, 15, 20, 14, 10, 30, 23, 31, 32, 5, 0, 28, 35, 6, 7, 24, 1, 2, 19, 27, 25, 18, 11, 17, 34, 26, 12, 9, 3, 33]"
42,random,10,1.4,True,-1,-2,"[14, 7, 11, 13, 35, 19, 30, 5, 29, 12, 22, 10, 26, 6, 18, 21, 2, 20, 17, 27, 8, 24, 28, 0, 23, 1, 15, 16, 32, 34, 9, 31, 33, 25, 3, 4]"
43,random,10,1.4,False,0,0,"[7, 14, 22, 2, 32, 12, 29, 28, 27, 31, 11, 9, 20, 16, 19, 24, 5, 13, 25, 17, 21, 8, 18, 33, 30, 3, 4, 15, 1, 0, 35, 23, 6, 34, 10, 26]"
44,random,10,1.4,True,0,0,"[9, 11, 24, 13, 1, 32, 19, 0, 27, 23, 3, 29, 2, 5, 15, 30, 6, 21, 4, 14, 20, 26, 31, 12, 18, 25, 8, 16, 7, 17, 28, 22, 35, 10, 33, 34]"
45,random,10,1.4,False,-1,-5,"[17, 13, 5, 31, 11, 16, 32, 4, 2, 18, 22, 14, 21, 8, 10, 35, 20, 24, 25, 29, 30, 12, 6, 0, 7, 26, 23, 19, 3, 28, 15, 34, 9, 33, 27, 1]"
